,query,value,keyword,type
0,knotts scary farm tickets,100,knotts scary farm,top
1,knott's scary farm 2025,74,knotts scary farm,top
2,knotts scary farm pass,65,knotts scary farm,top
3,horror nights,56,knotts scary farm,top
4,knott's berry farm,49,knotts scary farm,top
5,universal horror nights,33,knotts scary farm,top
6,halloween horror nights,30,knotts scary farm,top
7,knotts scary farm hotel,22,knotts scary farm,top
8,knotts scary farm season pass,21,knotts scary farm,top
9,disneyland,19,knotts scary farm,top
10,knotts scary farm boofet,19,knotts scary farm,top
11,knotts scary farm packages,17,knotts scary farm,top
12,how much are knotts scary farm tickets,17,knotts scary farm,top
13,knotts scary farm hours,16,knotts scary farm,top
14,when do knott's scary farm tickets go on sale,14,knotts scary farm,top
15,knotts scary farm mazes,13,knotts scary farm,top
16,when do knotts scary farm tickets go on sale,12,knotts scary farm,top
17,when does knotts scary farm open,12,knotts scary farm,top
18,knotts berry farm tickets,11,knotts scary farm,top
19,knotts scary farm passes,11,knotts scary farm,top
20,knotts boofet,11,knotts scary farm,top
21,when does knotts scary farm start,9,knotts scary farm,top
22,universal studios hollywood horror nights,9,knotts scary farm,top
23,knotts scary farm times,8,knotts scary farm,top
24,knotts scary farm hotel,325800,knotts scary farm,rising
25,knotts scary farm season pass,308150,knotts scary farm,rising
26,knotts scary farm boofet,278650,knotts scary farm,rising
27,how much are knotts scary farm tickets,248000,knotts scary farm,rising
28,when do knott's scary farm tickets go on sale,200700,knotts scary farm,rising
29,knotts scary farm mazes,185250,knotts scary farm,rising
30,when do knotts scary farm tickets go on sale,184600,knotts scary farm,rising
31,when does knotts scary farm open,178850,knotts scary farm,rising
32,knotts berry farm tickets,161450,knotts scary farm,rising
33,knotts scary farm passes,160550,knotts scary farm,rising
34,knotts boofet,159750,knotts scary farm,rising
35,when does knotts scary farm start,131850,knotts scary farm,rising
36,universal studios hollywood horror nights,126500,knotts scary farm,rising
37,knotts scary farm times,120650,knotts scary farm,rising
38,knotts scary farm pass,110,knotts scary farm,rising
39,halloween horror nights 2025,100,halloween horror nights,top
40,halloween 2025,93,halloween horror nights,top
41,universal,46,halloween horror nights,top
42,universal halloween horror nights,46,halloween horror nights,top
43,halloween horror nights orlando,24,halloween horror nights,top
44,universal studios,23,halloween horror nights,top
45,halloween horror nights universal studios,23,halloween horror nights,top
46,universal halloween horror nights 2025,21,halloween horror nights,top
47,halloween horror nights tickets,15,halloween horror nights,top
48,halloween horror nights hollywood,15,halloween horror nights,top
49,universal orlando halloween horror nights,13,halloween horror nights,top
50,universal orlando,13,halloween horror nights,top
51,halloween horror nights orlando 2025,12,halloween horror nights,top
52,halloween horror nights houses,10,halloween horror nights,top
53,universal studios halloween horror nights 2025,10,halloween horror nights,top
54,halloween horror nights pass,7,halloween horror nights,top
55,universal studios hollywood halloween horror nights,7,halloween horror nights,top
56,universal orlando halloween horror nights 2025,7,halloween horror nights,top
57,halloween horror nights 2025 tickets,7,halloween horror nights,top
58,what is halloween horror nights,6,halloween horror nights,top
59,universal studios orlando halloween horror nights,6,halloween horror nights,top
60,when does halloween horror nights start,5,halloween horror nights,top
61,halloween horror nights ticket,5,halloween horror nights,top
62,halloween horror nights merch,3,halloween horror nights,top
63,how much is halloween horror nights,2,halloween horror nights,top
64,wyatt sicks halloween horror nights,56650,halloween horror nights,rising
65,halloween horror nights scream early ticket,4250,halloween horror nights,rising
66,halloween horror nights 2022,130,halloween horror nights,rising
67,when does halloween horror nights start 2025,80,halloween horror nights,rising
68,howl o scream,60,halloween horror nights,rising
69,how long is halloween horror nights,50,halloween horror nights,rising
70,halloween horror nights ticket,50,halloween horror nights,rising
71,when does halloween horror nights start,40,halloween horror nights,rising
72,oogie boogie bash 2025,100,oogie boogie bash,top
73,disneyland,37,oogie boogie bash,top
74,disneyland oogie boogie bash,36,oogie boogie bash,top
75,oogie boogie bash tickets,31,oogie boogie bash,top
76,oogie boogie bash dates,24,oogie boogie bash,top
77,disneyland oogie boogie bash 2025,21,oogie boogie bash,top
78,oogie boogie bash disney,21,oogie boogie bash,top
79,oogie boogie bash tickets 2025,20,oogie boogie bash,top
80,disneyland tickets,9,oogie boogie bash,top
81,disney oogie boogie bash 2025,9,oogie boogie bash,top
82,disneyland oogie boogie bash 2025 tickets,7,oogie boogie bash,top
83,disneyland halloween,6,oogie boogie bash,top
84,what is oogie boogie bash,5,oogie boogie bash,top
85,oogie boogie bash time,5,oogie boogie bash,top
86,disneyland oogie boogie bash dates,5,oogie boogie bash,top
87,california adventure oogie boogie bash,4,oogie boogie bash,top
88,disney tickets,4,oogie boogie bash,top
89,disney oogie boogie bash tickets,4,oogie boogie bash,top
90,disneyland halloween 2025,3,oogie boogie bash,top
91,oogie boogie bash hours,3,oogie boogie bash,top
92,oogie boogie bash villains,3,oogie boogie bash,top
93,what is the oogie boogie bash,3,oogie boogie bash,top
94,oogie boogie bash characters,2,oogie boogie bash,top
95,when does oogie boogie bash start,2,oogie boogie bash,top
96,oogie boogie bash 2025 merch,2,oogie boogie bash,top
97,oogie boogie bash resale tickets,44550,oogie boogie bash,rising
98,oogie boogie bash – a disney halloween party,19900,oogie boogie bash,rising
99,what time does oogie boogie bash end,3300,oogie boogie bash,rising
100,oogie boogie bash map,300,oogie boogie bash,rising
101,when does oogie boogie bash start,250,oogie boogie bash,rising
102,oogie boogie bash 2025 merch,200,oogie boogie bash,rising
103,oogie boogie bash villains,190,oogie boogie bash,rising
104,oogie boogie bash characters,180,oogie boogie bash,rising
105,disneyland halloween,150,oogie boogie bash,rising
106,california adventure oogie boogie bash,130,oogie boogie bash,rising
107,disneyland halloween 2025,60,oogie boogie bash,rising
108,disneyland oogie boogie bash 2025,50,oogie boogie bash,rising
109,disney oogie boogie bash 2025,50,oogie boogie bash,rising
110,oogie boogie bash hours,50,oogie boogie bash,rising
